employee_id,manager_id,grade,hire_date,exit_date,tenure_days,event_observed
E00000,M0001,4,2025-08-08,2026-04-15,250,1
E00001,M0080,4,2024-11-10,,660,0
E00002,M0097,1,2024-06-25,,798,0
E00003,M0160,2,2022-02-07,,1667,0
E00004,M0065,2,2024-09-30,2025-04-22,204,1
E00005,M0045,4,2024-05-30,,824,0
E00006,M0133,2,2022-11-04,,1397,0
E00007,M0158,2,2022-08-10,2023-10-02,418,1
E00008,M0126,2,2022-12-11,,1360,0
E00009,M0175,2,2024-01-05,,970,0
E00010,M0163,1,2026-03-17,,168,0
E00011,M0166,5,2024-07-02,2024-12-04,155,1
E00012,M0098,2,2022-02-23,2022-08-08,166,1
E00013,M0178,2,2025-09-15,,351,0
E00014,M0099,1,2024-11-07,,663,0
E00015,M0065,3,2025-11-11,,294,0
E00016,M0080,1,2022-07-10,2025-10-07,1185,1
E00017,M0042,1,2023-06-17,,1172,0
E00018,M0089,4,2025-04-14,,505,0
E00019,M0160,2,2026-04-28,,126,0
E00020,M0023,2,2024-07-30,2024-10-29,91,1
E00021,M0046,1,2024-08-21,2026-01-03,500,1
E00022,M0142,1,2022-01-12,2024-11-03,1026,1
E00023,M0132,2,2025-04-30,2025-11-13,197,1
E00024,M0100,1,2022-01-22,2025-07-27,1282,1
E00025,M0121,1,2023-01-18,,1322,0
E00026,M0099,2,2025-12-21,,254,0
E00027,M0070,2,2021-11-28,2022-01-23,56,1
E00028,M0111,1,2026-05-22,,102,0
E00029,M0144,2,2026-07-27,,36,0
E00030,M0015,1,2024-12-02,2026-05-18,532,1
E00031,M0076,2,2025-02-03,,575,0
E00032,M0179,1,2023-06-01,,1188,0
E00033,M0126,3,2021-11-21,2022-01-12,52,1
E00034,M0096,1,2022-07-23,2024-07-09,717,1
E00035,M0046,3,2022-05-02,,1583,0
E00036,M0100,2,2023-08-23,,1105,0
E00037,M0051,1,2024-11-21,,649,0
E00038,M0132,3,2023-03-11,2023-06-22,103,1
E00039,M0043,1,2024-06-23,2024-08-16,54,1
E00040,M0163,2,2025-02-12,,566,0
E00041,M0038,3,2025-02-12,2025-10-21,251,1
E00042,M0178,1,2026-07-03,,60,0
E00043,M0079,4,2021-09-18,2025-07-26,1407,1
E00044,M0057,1,2021-11-04,2022-02-19,107,1
E00045,M0131,2,2021-09-17,2024-03-18,913,1
E00046,M0077,3,2024-07-21,2025-03-09,231,1
E00047,M0026,1,2026-06-30,,63,0
E00048,M0070,1,2022-03-22,2022-07-04,104,1
E00049,M0166,1,2025-10-21,,315,0
E00050,M0072,3,2024-12-28,2026-01-20,388,1
E00051,M0169,2,2026-08-23,,9,0
E00052,M0062,1,2024-08-16,2025-09-20,400,1
E00053,M0003,2,2024-09-22,,709,0
E00054,M0052,1,2023-01-09,,1331,0
E00055,M0089,3,2024-01-11,,964,0
E00056,M0125,1,2024-12-20,,620,0
E00057,M0018,2,2022-03-03,,1643,0
E00058,M0117,4,2026-01-16,,228,0
E00059,M0172,2,2024-12-04,,636,0
E00060,M0140,2,2021-12-25,,1711,0
E00061,M0105,2,2026-05-17,,107,0
E00062,M0149,2,2024-12-10,2025-11-24,349,1
E00063,M0047,2,2024-11-10,2024-11-22,12,1
E00064,M0004,1,2026-01-13,,231,0
E00065,M0066,2,2023-02-19,,1290,0
E00066,M0136,1,2022-02-05,2023-12-20,683,1
E00067,M0039,1,2022-07-18,2022-10-29,103,1
E00068,M0080,2,2023-02-08,,1301,0
E00069,M0022,4,2023-10-12,,1055,0
E00070,M0024,3,2022-02-20,2026-06-20,1581,1
E00071,M0110,5,2024-04-27,2024-06-09,43,1
E00072,M0129,2,2023-04-14,2026-02-22,1045,1
E00073,M0038,2,2022-07-20,2022-11-26,129,1
E00074,M0049,3,2024-01-31,2024-08-23,205,1
E00075,M0086,4,2023-01-03,,1337,0
E00076,M0178,2,2025-06-19,,439,0
E00077,M0075,1,2025-07-05,,423,0
E00078,M0011,3,2024-11-26,2024-11-30,4,1
E00079,M0018,2,2021-09-24,2022-09-22,363,1
E00080,M0070,1,2023-01-24,,1316,0
E00081,M0173,3,2023-09-06,,1091,0
E00082,M0071,2,2022-11-14,,1387,0
E00083,M0116,3,2024-01-03,,972,0
E00084,M0172,2,2024-12-25,,615,0
E00085,M0099,5,2024-09-19,,712,0
E00086,M0081,4,2026-03-10,,175,0
E00087,M0156,1,2025-10-10,,326,0
E00088,M0042,1,2023-11-30,,1006,0
E00089,M0126,2,2021-11-21,,1745,0
E00090,M0015,2,2022-08-18,2023-10-23,431,1
E00091,M0122,3,2024-10-02,2025-02-20,141,1
E00092,M0044,2,2025-12-06,,269,0
E00093,M0066,1,2025-06-16,,442,0
E00094,M0130,1,2023-07-27,,1132,0
E00095,M0069,3,2025-12-19,,256,0
E00096,M0093,1,2023-03-05,,1276,0
E00097,M0147,2,2022-03-03,,1643,0
E00098,M0160,4,2022-01-07,2022-03-24,76,1
E00099,M0077,5,2026-08-06,,26,0
E00100,M0035,4,2023-06-04,2024-01-26,236,1
E00101,M0097,4,2022-06-06,2022-12-05,182,1
E00102,M0058,1,2025-01-24,,585,0
E00103,M0156,4,2024-11-09,2025-06-25,228,1
E00104,M0165,3,2023-09-22,,1075,0
E00105,M0012,3,2022-10-08,2023-01-01,85,1
E00106,M0104,1,2025-08-03,,394,0
E00107,M0054,1,2021-09-17,,1810,0
E00108,M0090,2,2025-06-07,,451,0
E00109,M0152,4,2023-04-12,2023-08-06,116,1
E00110,M0048,2,2023-07-18,,1141,0
E00111,M0024,2,2021-12-09,2022-01-11,33,1
E00112,M0176,1,2022-03-30,,1616,0
E00113,M0157,1,2021-10-23,,1774,0
E00114,M0106,5,2023-05-09,,1211,0
E00115,M0038,4,2025-10-07,2025-10-27,20,1
E00116,M0162,2,2021-09-26,,1801,0
E00117,M0138,2,2023-07-21,2024-02-26,220,1
E00118,M0099,1,2026-07-27,,36,0
E00119,M0141,1,2025-06-12,2025-12-13,184,1
E00120,M0023,1,2026-05-30,,94,0
E00121,M0005,3,2023-10-14,,1053,0
E00122,M0052,4,2021-10-12,,1785,0
E00123,M0063,1,2025-02-05,,573,0
E00124,M0075,5,2023-07-25,2024-02-26,216,1
E00125,M0156,4,2023-04-22,,1228,0
