manager_id,team_size
M0000,19
M0001,21
M0002,10
M0003,18
M0004,7
M0005,7
M0006,16
M0007,6
M0008,12
M0009,21
M0010,5
M0011,16
M0012,12
M0013,5
M0014,16
M0015,18
M0016,22
M0017,10
M0018,18
M0019,14
M0020,18
M0021,17
M0022,10
M0023,21
M0024,18
M0025,5
M0026,22
M0027,7
M0028,9
M0029,10
M0030,5
M0031,6
M0032,13
M0033,5
M0034,10
M0035,7
M0036,11
M0037,5
M0038,23
M0039,22
M0040,7
M0041,15
M0042,20
M0043,19
M0044,7
M0045,20
M0046,21
M0047,12
M0048,6
M0049,22
M0050,9
M0051,17
M0052,21
M0053,14
M0054,12
M0055,22
M0056,19
M0057,9
M0058,8
M0059,19
M0060,7
M0061,6
M0062,7
M0063,9
M0064,5
M0065,14
M0066,22
M0067,8
M0068,19
M0069,21
M0070,13
M0071,22
M0072,5
M0073,10
M0074,8
M0075,22
M0076,17
M0077,20
M0078,5
M0079,13
M0080,20
M0081,10
M0082,8
M0083,11
M0084,19
M0085,6
M0086,7
M0087,23
M0088,23
M0089,23
M0090,22
M0091,16
M0092,6
M0093,9
M0094,23
M0095,18
M0096,5
M0097,22
M0098,15
M0099,20
M0100,13
M0101,23
M0102,18
M0103,21
M0104,15
M0105,22
M0106,22
M0107,15
M0108,7
M0109,9
M0110,21
M0111,17
M0112,6
M0113,16
M0114,17
M0115,5
M0116,10
M0117,10
M0118,12
M0119,15
M0120,10
M0121,20
M0122,22
M0123,20
M0124,7
M0125,22
M0126,14
M0127,10
M0128,20
M0129,17
M0130,10
M0131,11
M0132,12
M0133,19
M0134,12
M0135,6
M0136,11
M0137,7
M0138,14
M0139,10
M0140,14
M0141,8
M0142,13
M0143,22
M0144,16
M0145,15
M0146,9
M0147,18
M0148,8
M0149,19
M0150,16
M0151,6
M0152,5
M0153,7
M0154,18
M0155,5
M0156,20
M0157,13
M0158,11
M0159,21
M0160,15
M0161,15
M0162,17
M0163,20
M0164,16
M0165,9
M0166,12
M0167,10
M0168,9
M0169,16
M0170,20
M0171,5
M0172,23
M0173,14
M0174,15
M0175,7
M0176,21
M0177,13
M0178,23
M0179,13
